Timestamp,Actual position,Motor speed,Torque,Energy Consumption
0.61599995,628390546,2.0241191,-0.26811603,17927.0
0.61999995,628390535,2.0241199,-0.26909417,17837.0
0.62399995,628390524,2.0241172,-0.26936755,17453.0
0.62799995,628390513,2.0241165,-0.26864478,16891.0
0.63199995,628390502,2.0241177,-0.26673564,15967.0
0.63599995,628390492,2.0241196,-0.26658365,15088.0
0.63999995,628390481,2.0241199,-0.26579344,14564.0
0.64399995,628390471,2.024118,-0.26597750000000003,14394.0
0.64799995,628390462,2.0241175,-0.26588827,14745.0
0.65199995,628390452,2.024115,-0.26658200000000004,15856.0
0.65599995,628390443,2.0241133999999996,-0.26601228,16502.0
0.65999995,628390434,2.0241175,-0.2669768,16678.0
0.66399995,628390426,2.0241172,-0.26484096,16842.0
0.66799995,628390417,2.0241165,-0.26544568,16621.0
0.67199995,628390409,2.0241184,-0.2650852,16167.0
0.67599995,628390402,2.0241196,-0.26603788,15676.0
0.67999995,628390394,2.0241163,-0.26679042,15645.0
0.68399995,628390387,2.0241165,-0.26666898,15265.0
0.68799995,628390380,2.0241172,-0.26736757,15138.0
0.69199995,628390373,2.024118,-0.26649755,15068.0
0.69599995,628390367,2.0241172,-0.26598516,15122.0
0.69999995,628390361,2.0241168000000003,-0.26707256,15441.0
0.70399995,628390355,2.0241196,-0.2670123,15967.0
0.70799995,628390350,2.024115,-0.26764125,16628.0
0.71199995,628390345,2.0241175,-0.26653499999999997,17122.0
0.71599995,628390340,2.0241182,-0.26603723,17621.0
0.71999995,628390335,2.0241163,-0.26595274,17501.0
0.72399995,628390331,2.0241191,-0.26626956,17122.0
0.72799995,628390327,2.0241168000000003,-0.26735216,16600.0
0.73199995,628390324,2.0241172,-0.2666712,16206.0
0.73599994,628390320,2.024119,-0.26417434,15844.0
0.73999994,628390317,2.024116,-0.26488113,15762.0
0.74399994,628390315,2.0241199,-0.26536750000000003,16092.0
0.74799994,628390312,2.0241196,-0.26725328,17048.0
0.75199994,628390310,2.024115,-0.26695892,17456.0
0.75599994,628390309,2.0241191,-0.26682442,17407.0
0.75999994,628390307,2.024119,-0.26716673,17474.0
0.76399994,628390306,2.0241182,-0.267054,17772.0
0.76799994,628390305,2.0241187,-0.26687768,17618.0
0.77199994,628390305,2.0241175,-0.26678240000000003,17147.0
0.77599994,628390305,2.0241153,-0.26680925,15358.0
0.77999994,628390305,2.0241172,-0.26682649999999997,14851.0
0.78399994,628390306,2.024118,-0.26562637,14441.0
0.78799994,628390306,2.0241177,-0.26466048,14105.0
0.79199994,628390308,2.024118,-0.26499534,14048.0
0.79599994,628390309,2.0241191,-0.26522374,14394.0
0.79999994,628390311,2.0241182,-0.26599976,15034.0
0.80399994,628390313,2.0241182,-0.26710454,15783.0
0.80799994,628390316,2.024118,-0.26705995,16231.0
0.81199994,628390319,2.0241182,-0.2659415,16576.0
0.81599994,628390322,2.0241168000000003,-0.26735097,16912.0
0.81999994,628390325,2.0241184,-0.26656437,16991.0
0.82399994,628390329,2.024119,-0.26602858,16793.0
0.82799994,628390333,2.0241191,-0.26619083,16764.0
0.83199994,628390338,2.0241177,-0.26635408,16643.0
0.83599994,628390343,2.0241187,-0.26612535,16666.0
0.83999994,628390348,2.0241158,-0.26748925,16869.0
0.84399994,628390354,2.0241177,-0.26722813,17916.0
0.84799994,628390360,2.024118,-0.2669376,18424.0
0.85199994,628390366,2.024121,-0.26688358,18343.0
